filename, timestamp,name, author, language, genre, era, pages_per_sheet
אהבת יונתן - 2.pdf,0,אהבת יונתן,ר' יהונתן אייבשיץ,0,"תנ""ך",אחרונים,2
דרכי התלמוד - 8.pdf,0,דרכי התלמוד,ר' יצחק קנפנטון,0,תלמוד ועיון,ראשונים,8
על כפות המנעול - 8.pdf,0,על כפות המנעול,"הרב שג""ר",0,מוסר,אחרונים,8
אברבנאל במדבר - 8.docx,0,פירוש אברבנאל-במדבר,ר' יצחק אברבנאל,0,"תנ""ך",ראשונים,8
דרכה של תורה - 8.docx,0,דרכה של תורה,הרב עמיאל,0,מוסר,אחרונים,8
דרכי התלמוד - 8.docx,0,דרכי התלמוד-WORD,ר' יצחק קנפנטון,0,תלמוד ועיון,ראשונים,8
דרשות אל עמי ימים נוראים - 8.docx,0,דרשות אל עמי ימים נוראים,הרב עמיאל,0,מוסר,אחרונים,8
דרשות אל עמי.docx,0,דרשות אל עמי,הרב עמיאל,0,מוסר,אחרונים,1
דרשות הרן - 8.docx,0,"דרשות הר""ן",רבינו ניסים גירונדי,0,"מחשבה, מוסר",ראשונים,8
הגיוני עוזיאל - 2.docx,0,הגיוני עוזיאל,הרב עוזיאל,0,מחשבה,אחרונים,2
הצדק הסוציאלי והצדק המשפטי והמוסרי שלנו - 4.docx,0,הצדק הסוציאלי והצדק המשפטי והמוסרי שלנו,הרב עמיאל,0,מחשבה,אחרונים,4
חפץ חיים - 8.docx,0,חפץ חיים,ר' ישראל מאיר הכהן מראדין,0,"הלכה, מוסר",אחרונים,8
כוזרי אבש  - 8.docx,0,כוזרי-תרגום אבן שמואל,ר' יהודה הלוי,0,מחשבה,ראשונים,8
הגיונות אל עמי.docx,0,הגיונות אל עמי,הרב עמיאל,0,מחשבה,אחרונים,1
כוזרי שני א-ג - 8.docx,0,כוזרי שני א-ג,ר' דוד ניטו,0,מחשבה,אחרונים,8
לנבוכי הדור וזרעונים - 4.docx,0,לנבוכי הדור + זרעונים,הרב קוק,0,מחשבה,אחרונים,4
לנבוכי התקופה - 8.docx,0,לנבוכי התקופה,הרב עמיאל,0,מחשבה,אחרונים,8
מוסך השבת.docx,0,מוסך השבת-מנחת חינוך,"ר' יוסף באב""ד",0,"תלמוד ועיון, הלכה",אחרונים,1
מנחת קנאות - 8.docx,0,מנחת קנאות,אבא מרי הירחי,0,מחשבה,ראשונים,8
מסכת סוטה - 8.docx,0,מסכת סוטה,גמרא,0,תלמוד ועיון,אמוראים,8
נפש החיים - 8.docx,0,נפש החיים,ר' חיים מוולוז'ין,0,"מחשבה, מוסר, קבלה",אחרונים,8
נצח ישראל א 8.docx,0,נצח ישראל א,"מהר""ל",0,מחשבה,אחרונים,8
נצח ישראל ב 8.docx,0,נצח ישראל ב,"מהר""ל",0,מחשבה,אחרונים,8
ספר הישר - 8.docx,0,ספר הישר,ר' זרחיה היוני (כנראה),0,"מחשבה, מוסר",ראשונים,8
פנהל סוכות - 8.docx,0,פניני הלכה-סוכות,הרב אליעזר מלמד,0,הלכה,אחרונים,8
פרקי דרבי אליעזר - 8.docx,0,פרקי דרבי אליעזר,מיוחס לרבי אליעזר,0,מקורות תנאיים,תנאים,8
קדמוניות היהודים א - 8.docx,0,קדמוניות היהודים א,יוספוס פלביוס,0,היסטוריה,תנאים,8
קדמוניות היהודים ב - 8.docx,0,קדמוניות היהודים ב,יוספוס פלביוס,0,היסטוריה,תנאים,8
קדמוניות היהודים הערות - 8.docx,0,קדמוניות היהודים-הערות,אלכסנדר שור,0,היסטוריה,אחרונים,8
ריף בבא בתרא - 8.docx,0,"הלכות הרי""ף-בבא בתרא",ר' יצחק אלפסי,0,"תלמוד ועיון, הלכה",ראשונים,8
שב שמעתתא.docx,0,שב שמעתתא, הרב אריה לייב הכהן הלר,0,תלמוד ועיון,אחרונים,1
שוע והגה הלכות שבת.docx,0,"שו""ע ורמ""א-הלכות שבת",ר' יוסף קארו ור' משה איסרליש,0,הלכה,ראשונים,1
ספר הענק - 16.docx,0,ספר הענק,ר' יהודה אלחריזי,0,ספרות,ראשונים,16
מאמר העיקרים - 16.docx,0,מאמר העיקרים,"רמח""ל",0,מחשבה,אחרונים,16
טעות נמהרה הרב בנציון אלפס - 16.docx,0,טעות נמהרה,הרב בנציון אלפס,0,"מחשבה, ספרות",אחרונים,16
בית חנן - 16.docx,0,בית חנן,אברהם מאפו,0,ספרות,אחרונים,16
